Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,Points/£M,Elite%
M.Salah,89,7.7,5.9,5.8,7.0,7.0,33.4,0.46,56.8%
Palmer,89,6.4,5.9,6.4,5.4,4.8,28.8,0.55,53.0%
Haaland,89,5.9,6.0,5.0,5.5,4.0,26.4,0.38,19.6%
Marmoush,77,5.7,5.8,5.1,5.6,4.0,26.2,0.62,14.0%
Watkins,85,5.2,4.8,5.3,4.7,5.5,25.5,0.57,14.3%
B.Fernandes,90,4.9,5.1,6.5,4.0,4.9,25.4,0.57,13.3%
Wirtz,85,5.8,4.5,4.2,5.2,5.2,25.1,0.59,33.6%
Saka,89,5.0,6.3,3.9,5.5,4.2,25.0,0.50,15.6%
Isak,87,4.7,4.4,4.9,5.6,4.6,24.2,0.46,28.6%
Eze,88,4.0,4.9,4.0,5.9,4.6,23.4,0.62,9.1%
Solanke,80,5.3,3.3,4.7,4.1,3.9,21.3,0.57,12.8%
Rogers,89,4.4,4.0,4.3,3.9,4.6,21.3,0.61,25.4%
Gibbs-White,89,4.9,3.7,4.8,3.0,4.3,20.7,0.55,4.7%
Bowen,88,4.7,3.9,3.7,4.2,4.1,20.6,0.52,19.8%
Wood,81,4.8,3.7,4.7,3.1,4.2,20.4,0.54,16.3%
Sarr,83,3.4,4.3,3.5,5.0,3.8,20.0,0.62,2.2%
Neto,84,4.4,4.0,4.3,3.9,3.4,20.0,0.57,4.4%
Gakpo,68,4.6,3.7,3.4,4.2,4.0,20.0,0.53,3.9%
Virgil,88,4.4,3.7,3.5,4.4,3.9,19.9,0.66,22.7%
Frimpong,78,4.5,3.4,3.3,4.3,4.4,19.9,0.66,26.2%
Mitoma,83,4.6,3.9,3.5,3.8,4.1,19.8,0.61,5.8%
Semenyo,87,3.2,4.8,3.6,4.2,4.0,19.8,0.57,5.1%
Ødegaard,83,4.0,4.8,3.2,4.4,3.5,19.8,0.49,3.3%
Tielemans,84,4.0,3.7,4.1,3.6,4.2,19.7,0.66,1.6%
Ndiaye,79,4.2,4.3,4.0,4.1,3.0,19.5,0.60,12.3%
Evanilson,84,3.3,4.4,3.5,4.3,3.8,19.4,0.55,2.5%
Mbeumo,79,3.6,3.9,5.1,3.0,3.7,19.4,0.48,17.0%
Mateta,69,3.2,4.0,3.5,4.7,3.8,19.2,0.51,6.3%
Welbeck,76,4.4,3.6,3.5,3.7,3.9,19.1,0.59,7.8%
Murillo,88,4.2,3.6,4.3,2.8,4.1,19.0,0.69,4.6%
Enzo,89,4.1,3.9,4.0,3.6,3.4,19.0,0.59,4.1%
Muñoz,88,2.8,4.3,3.0,5.2,3.6,18.8,0.68,8.6%
Strand Larsen,81,3.5,3.7,4.0,3.3,4.2,18.7,0.58,5.9%
Mac Allister,84,4.2,3.5,3.2,3.9,3.7,18.6,0.57,1.5%
Schade,77,3.6,3.9,4.2,3.5,3.4,18.6,0.53,2.0%
A.Becker,93,4.0,3.4,3.4,3.8,3.9,18.5,0.67,10.8%
Rice,84,3.8,4.1,3.3,3.9,3.2,18.4,0.57,7.4%
Pedro Porro,76,4.9,2.4,4.1,3.8,3.2,18.4,0.67,10.9%
Bruno G.,89,3.6,3.4,3.7,4.0,3.6,18.3,0.56,1.4%
Lacroix,90,3.0,4.0,3.0,4.7,3.5,18.3,0.73,1.0%
Cunha,72,3.4,3.8,4.7,2.8,3.5,18.2,0.46,10.7%
Raya,92,3.6,4.1,3.0,4.0,3.5,18.2,0.66,18.2%
Rodrigo,85,3.9,3.9,3.8,3.6,3.0,18.1,0.56,1.6%
Anderson,84,3.9,3.6,4.0,3.0,3.7,18.1,0.66,3.9%
L.Paquetá,79,4.2,3.4,3.4,3.4,3.6,18.0,0.60,1.0%
Iwobi,82,3.5,3.7,3.0,4.0,3.8,18.0,0.55,1.4%
Damsgaard,85,3.7,3.7,3.9,3.3,3.4,17.9,0.60,1.2%
Joelinton,88,3.5,3.2,3.6,4.1,3.4,17.9,0.60,0.4%
Kudus,74,4.5,2.9,3.8,3.5,3.1,17.8,0.55,25.8%
Sánchez,93,3.8,3.6,3.8,3.4,3.2,17.8,0.71,15.2%
Tarkowski,93,3.9,3.9,3.9,3.6,2.5,17.8,0.65,4.8%
N.Williams,88,4.0,3.2,4.1,2.5,3.9,17.8,0.71,3.5%
Milenković,89,3.9,3.3,4.1,2.5,4.0,17.7,0.65,8.7%
Konaté,84,4.0,3.1,3.0,3.8,3.7,17.6,0.64,2.8%
Colwill,87,3.9,3.6,3.8,3.2,3.1,17.5,0.70,5.5%
Ederson M.,92,3.9,3.7,3.2,3.7,3.0,17.5,0.64,3.7%
Caicedo,88,3.7,3.6,3.6,3.4,3.2,17.5,0.63,7.3%
Malen,60,3.5,3.4,3.6,3.1,3.7,17.4,0.63,2.4%
Cucurella,84,3.9,3.5,3.8,3.2,2.9,17.3,0.58,19.1%
Andersen,92,3.4,3.5,2.8,3.8,3.6,17.1,0.76,1.2%
Alcaraz,79,3.6,3.8,3.5,3.6,2.6,17.1,0.62,0.3%
Munetsi,84,3.2,3.4,3.5,3.0,3.9,17.0,0.62,0.1%
Wissa,59,3.0,3.6,4.0,3.1,3.1,17.0,0.45,7.1%
Richards,88,2.8,3.7,2.7,4.4,3.3,16.9,0.75,0.8%
Vicario,93,4.0,2.9,3.6,3.4,3.1,16.9,0.68,3.5%
Schär,89,3.2,2.9,3.4,4.1,3.4,16.9,0.62,2.3%
Gabriel,76,3.1,4.3,2.6,4.0,3.0,16.9,0.56,22.9%
Wilson,70,3.5,3.6,2.7,3.8,3.2,16.9,0.61,1.3%
Kluivert,73,2.9,4.2,3.0,3.4,3.4,16.9,0.48,4.8%
Guéhi,92,2.7,3.7,2.7,4.5,3.2,16.8,0.75,13.3%
Saliba,89,3.4,4.2,2.5,3.9,2.8,16.8,0.56,14.0%
Sels,94,3.6,3.2,3.7,2.8,3.6,16.8,0.67,17.9%
McNeil,76,3.5,3.7,3.5,3.5,2.7,16.8,0.56,0.9%
Tonali,88,3.3,3.1,3.3,3.8,3.2,16.7,0.61,2.4%
Gyökeres,44,2.8,3.7,2.5,4.2,3.4,16.6,0.37,24.2%
Hall,85,2.9,2.7,3.5,4.2,3.1,16.5,0.60,2.8%
Leno,93,3.1,3.4,2.9,3.6,3.5,16.5,0.66,1.7%
Gordon,64,3.1,2.9,3.4,3.9,3.2,16.4,0.44,3.0%
Collins,91,3.4,3.2,3.9,2.8,3.1,16.4,0.66,1.7%
Pickford,92,3.4,3.5,3.5,3.3,2.7,16.4,0.60,12.3%
Robinson,91,3.2,3.4,2.5,3.7,3.5,16.3,0.65,6.4%
Areola,94,3.7,3.0,3.1,3.2,3.3,16.3,0.72,5.9%
Kelleher,93,3.2,3.2,3.6,3.0,3.1,16.2,0.72,32.2%
Romero,90,4.5,2.2,3.6,3.2,2.8,16.2,0.65,1.7%
Reijnders,68,3.4,3.7,3.3,3.4,2.5,16.2,0.59,4.8%
Gomes,89,3.1,3.3,3.4,3.0,3.4,16.2,0.59,0.1%
Gana,89,3.5,3.5,3.3,3.1,2.9,16.2,0.59,0.1%
Verbruggen,94,3.6,3.3,2.9,3.1,3.2,16.0,0.71,7.0%
Perri,94,3.6,2.8,3.2,3.1,3.2,16.0,0.71,0.3%
Konsa,89,3.0,2.9,3.3,3.0,3.7,16.0,0.71,23.5%
Georginio,61,3.7,3.3,2.9,3.0,3.1,15.9,0.53,0.4%
Petrović,90,2.7,3.7,3.0,3.3,3.2,15.9,0.71,4.7%
Branthwaite,90,3.6,3.5,3.5,3.2,2.2,15.9,0.58,1.9%
Henderson,91,2.9,3.5,2.8,3.8,2.9,15.8,0.63,3.4%
José Sá,94,2.9,3.1,3.4,2.9,3.4,15.8,0.70,2.5%
Hudson-Odoi,71,3.6,3.1,3.4,2.5,3.1,15.8,0.53,1.9%
Adingra,76,3.5,3.2,3.4,2.8,2.8,15.7,0.57,2.8%
