Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,xMins/£M,Elite%
M.Salah,88,88,86,83,77,82,416,5.7,57.5%
Palmer,87,87,87,84,88,80,426,8.1,53.7%
Haaland,89,89,81,80,81,76,407,5.8,20.2%
Watkins,86,86,84,84,83,85,422,9.4,16.4%
Marmoush,75,75,69,68,68,75,355,8.4,13.7%
Saka,84,84,80,80,76,75,395,7.9,15.2%
Isak,88,88,83,80,82,75,408,7.8,27.0%
B.Fernandes,91,91,83,84,84,87,429,9.5,14.2%
Wirtz,84,84,82,79,75,77,397,9.3,32.8%
Eze,84,84,84,78,79,75,400,10.7,9.2%
Mateta,85,85,82,82,80,72,401,10.7,6.3%
Rogers,87,87,87,81,80,79,414,11.8,23.8%
Solanke,84,84,79,76,74,78,391,10.4,11.8%
Bowen,90,90,87,88,81,77,423,10.6,20.2%
Virgil,91,91,87,82,83,85,428,14.3,23.8%
Gibbs-White,89,89,84,83,81,81,418,11.1,4.8%
Sarr,83,83,81,79,77,75,395,12.2,2.3%
Gakpo,67,67,63,64,64,60,318,8.5,4.9%
Semenyo,86,86,80,84,82,80,412,11.8,5.1%
Neto,84,84,83,76,74,72,389,11.1,4.2%
Ødegaard,86,86,82,79,78,73,398,9.9,3.3%
Wood,80,80,78,76,74,71,379,10.1,16.4%
Frimpong,81,81,77,73,71,70,372,12.4,25.7%
Mac Allister,87,87,78,77,73,73,388,11.9,1.5%
Evanilson,84,84,82,77,77,74,394,11.3,2.5%
Enzo,89,89,88,88,86,81,432,13.3,4.1%
Tielemans,85,85,83,79,75,76,398,13.3,1.7%
Ndiaye,78,78,76,74,75,72,375,11.5,12.7%
Strand Larsen,83,83,79,77,78,75,392,12.1,5.9%
Mitoma,84,84,79,78,74,77,392,12.1,6.0%
Mbeumo,82,82,76,71,72,70,371,9.3,16.8%
Rice,80,80,79,80,75,78,392,12.1,7.5%
Joelinton,90,90,83,85,79,80,417,13.9,0.5%
L.Paquetá,80,80,75,76,71,71,373,12.4,1.0%
Damsgaard,85,85,79,80,80,77,401,13.4,1.2%
Schade,71,71,73,68,69,72,353,10.1,1.9%
Welbeck,76,76,71,64,64,63,338,10.4,7.7%
A.Becker,94,94,91,85,88,84,442,16.1,11.0%
Cunha,76,76,72,70,73,65,356,8.9,10.4%
Anderson,85,85,84,79,83,81,412,15.0,4.4%
Iwobi,82,82,82,80,78,76,398,12.2,1.5%
Muñoz,90,90,89,82,82,80,423,15.4,8.5%
Murillo,88,88,88,82,77,80,415,15.1,4.8%
Rodrigo,86,86,83,80,84,78,411,12.6,1.6%
Raya,93,93,91,91,91,89,455,16.5,18.0%
Konaté,83,83,81,80,77,76,397,14.4,2.8%
Cucurella,91,91,85,84,83,85,428,14.3,18.9%
Pedro Porro,82,82,79,77,77,81,396,14.4,11.3%
Malen,64,64,64,59,57,59,303,11.0,3.0%
Sánchez,94,94,92,88,88,88,450,18.0,15.6%
Lacroix,91,91,90,85,82,81,429,17.2,1.0%
Ederson M.,92,92,90,87,89,88,446,16.2,3.7%
Bruno G.,90,90,88,86,81,81,426,13.1,1.5%
Kudus,74,74,67,71,64,67,343,10.6,25.3%
N.Williams,90,90,83,80,84,79,416,16.6,4.4%
Kluivert,74,74,68,65,61,57,325,9.3,4.8%
Georginio,63,63,60,59,57,60,299,10.0,0.4%
