Name,Position,Price,xMins,GW16,GW17,GW18,GW19,Total,/£M,Elite%
Haaland,FWD,15.0,87,5.5,7.6,5.7,6.0,24.8,0.41,98.2%
B.Fernandes,MID,9.0,90,5.9,4.9,5.6,6.8,23.2,0.64,94.3%
Saka,MID,10.1,82,7.0,5.2,5.6,5.3,23.1,0.57,71.5%
Palmer,MID,10.3,89,5.8,4.6,5.2,5.6,21.2,0.51,0.3%
Isak,FWD,10.4,81,4.6,4.4,5.4,5.2,19.6,0.47,0.0%
Thiago,FWD,6.9,87,5.5,4.7,4.5,4.7,19.4,0.70,49.5%
Foden,MID,8.5,80,4.3,5.6,4.4,4.6,18.9,0.56,74.5%
Mateta,FWD,8.0,82,4.2,4.8,4.9,5.0,18.8,0.59,52.6%
Cunha,MID,7.9,80,4.7,4.0,4.5,5.5,18.5,0.59,14.6%
J.Timber,DEF,6.5,88,5.6,4.0,4.3,4.0,17.9,0.69,49.1%
Semenyo,MID,7.6,86,4.1,5.7,4.1,3.5,17.5,0.57,27.3%
Gordon,MID,7.2,69,4.2,4.1,3.8,4.8,16.8,0.58,6.0%
Virgil,DEF,6.0,92,4.2,3.8,4.6,4.2,16.8,0.70,72.1%
Gakpo,MID,7.5,62,3.8,3.7,4.6,4.3,16.3,0.54,0.5%
Rice,MID,7.1,83,4.7,3.7,4.0,3.8,16.1,0.57,0.7%
O’Reilly,DEF,5.2,75,3.4,4.8,3.8,4.0,16.1,0.77,15.4%
Raúl,FWD,6.2,80,4.4,4.6,4.1,2.9,16.1,0.65,0.9%
Damsgaard,MID,5.8,80,4.4,3.9,3.9,3.8,16.0,0.69,0.1%
Raya,GK,6.0,92,4.3,3.9,3.9,3.9,16.0,0.67,72.2%
Woltemade,FWD,7.5,76,3.9,4.0,3.7,4.3,15.9,0.53,10.1%
Andersen,DEF,4.5,91,4.4,4.1,3.8,3.3,15.7,0.87,86.4%
Saliba,DEF,6.0,92,4.1,3.9,3.8,3.9,15.6,0.65,1.9%
Szoboszlai,MID,6.6,85,4.4,3.3,4.0,4.0,15.6,0.59,3.1%
Doku,MID,6.6,67,3.5,4.4,3.8,3.9,15.5,0.59,0.4%
Enzo,MID,6.7,90,4.2,3.5,3.9,3.9,15.4,0.58,28.5%
