Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,/£M,Elite%
M.Salah,MID,14.5,87,7.3,5.7,5.6,6.7,6.7,32.0,0.44,53.4%
Palmer,MID,10.5,89,6.1,5.3,6.0,5.1,4.9,27.4,0.52,58.8%
Saka,MID,10.0,88,5.3,6.1,4.0,5.6,4.6,25.6,0.51,17.5%
Haaland,FWD,14.0,90,5.7,5.6,4.8,5.6,3.8,25.4,0.36,22.7%
B.Fernandes,MID,9.0,90,4.7,5.1,6.2,4.0,5.0,24.9,0.55,18.9%
Watkins,FWD,9.0,84,5.1,4.5,5.1,4.3,5.2,24.1,0.54,22.3%
Marmoush,MID,8.5,74,5.0,5.3,4.8,5.3,3.6,24.0,0.56,12.8%
Wirtz,MID,8.5,84,5.5,4.5,4.1,5.0,4.7,23.8,0.56,34.7%
Mateta,FWD,7.5,88,4.0,5.0,4.1,5.6,4.3,23.0,0.61,8.4%
Gyökeres,FWD,9.0,69,4.4,5.5,3.6,4.9,4.0,22.4,0.50,26.0%
Eze,MID,7.5,85,3.8,4.8,3.8,5.6,4.1,22.2,0.59,10.1%
Bowen,FWD,8.0,92,5.0,4.1,3.9,4.3,4.3,21.7,0.54,18.9%
Sarr,MID,6.5,84,3.6,4.4,3.6,5.1,4.0,20.7,0.64,5.2%
Ødegaard,MID,8.0,83,4.2,5.1,3.2,4.3,3.6,20.4,0.51,3.3%
Semenyo,MID,7.0,89,3.4,4.8,3.6,4.3,4.1,20.2,0.58,5.3%
Gakpo,MID,7.5,66,4.4,3.8,3.5,4.3,4.3,20.2,0.54,6.3%
Thiago,FWD,6.0,85,4.2,4.4,4.8,3.6,3.0,19.9,0.66,1.0%
Virgil,DEF,6.0,90,4.3,3.5,3.4,4.3,4.1,19.7,0.66,24.0%
Strand Larsen,FWD,6.5,85,3.8,3.8,4.1,3.6,4.3,19.6,0.60,5.2%
L.Paquetá,MID,6.0,80,4.5,3.9,3.7,3.7,4.0,19.6,0.65,1.1%
Frimpong,DEF,6.0,79,4.5,3.4,3.1,4.2,4.3,19.5,0.65,29.9%
Schade,MID,7.0,84,3.1,4.1,4.6,3.8,3.8,19.4,0.56,0.9%
Tielemans,MID,6.0,86,4.1,3.6,4.0,3.5,4.2,19.4,0.65,2.1%
Georginio,MID,6.0,74,4.7,3.8,3.5,3.6,3.8,19.4,0.65,0.8%
Wood,FWD,7.5,80,4.5,3.8,4.2,3.0,3.9,19.4,0.52,14.2%
Mitoma,MID,6.5,85,4.5,3.7,3.5,3.7,4.0,19.3,0.59,6.7%
Enzo,MID,6.5,90,4.1,3.8,4.0,3.7,3.6,19.2,0.59,3.7%
Gibbs-White,MID,7.5,80,4.2,3.6,4.4,2.9,4.0,19.2,0.51,5.2%
Evanilson,FWD,7.0,84,3.4,4.5,3.5,3.9,3.9,19.1,0.55,2.2%
Rice,MID,6.5,84,4.0,4.4,3.2,3.9,3.5,19.1,0.59,7.5%
Anderson,MID,5.5,85,4.2,3.8,4.0,3.0,3.8,18.9,0.69,6.7%
Ndiaye,MID,6.5,75,4.1,4.1,3.9,3.8,2.9,18.8,0.58,13.2%
Gordon,MID,7.5,80,3.2,3.8,4.6,3.8,3.3,18.7,0.50,1.9%
Joelinton,MID,6.0,90,3.7,3.6,3.8,4.1,3.5,18.7,0.62,0.5%
Solanke,FWD,7.5,43,3.2,2.7,4.7,4.3,3.8,18.7,0.50,6.4%
Gabriel,DEF,6.0,86,3.8,4.6,2.7,4.2,3.3,18.7,0.62,20.1%
Ekitiké,FWD,8.5,62,4.2,3.5,3.4,3.9,3.6,18.7,0.44,12.1%
Murillo,DEF,5.5,88,4.2,3.5,4.2,2.7,4.0,18.6,0.68,5.6%
Mac Allister,MID,6.5,70,3.7,3.6,3.4,4.0,3.9,18.5,0.57,1.5%
Muñoz,DEF,5.5,89,2.7,4.2,2.9,5.1,3.5,18.5,0.67,9.2%
Rogers,MID,7.0,70,2.8,3.6,4.1,3.7,4.3,18.4,0.53,13.5%
Pedro Porro,DEF,5.5,83,5.2,2.4,4.2,3.5,3.2,18.4,0.67,14.2%
Iwobi,MID,6.5,85,3.5,3.9,3.1,3.9,3.8,18.3,0.56,1.6%
Raya,GK,5.5,91,3.7,4.1,3.0,4.0,3.5,18.2,0.66,17.3%
Damsgaard,MID,6.0,86,3.8,3.8,3.9,3.4,3.4,18.2,0.61,1.2%
Bruno G.,MID,6.5,89,3.6,3.4,3.6,4.0,3.5,18.1,0.56,1.6%
Kudus,MID,6.5,71,4.7,3.0,3.9,3.4,3.2,18.0,0.55,23.7%
A.Becker,GK,5.5,94,4.0,3.3,3.2,3.8,3.6,17.9,0.65,11.0%
Konaté,DEF,5.5,85,4.1,3.2,2.9,3.8,3.8,17.8,0.65,2.9%
Andersen,DEF,4.5,92,3.4,3.9,2.9,3.9,3.6,17.7,0.79,1.9%
Lacroix,DEF,5.0,91,2.9,4.0,2.9,4.4,3.4,17.7,0.71,1.1%
J.Arias,MID,5.5,76,3.3,3.5,3.7,3.1,4.0,17.7,0.64,1.0%
Sánchez,GK,5.0,92,3.7,3.5,3.6,3.5,3.3,17.6,0.71,20.3%
Tarkowski,DEF,5.5,92,3.9,3.8,3.8,3.5,2.5,17.6,0.64,6.7%
Neto,MID,7.0,73,4.0,3.5,3.6,3.3,3.1,17.5,0.50,4.1%
Ederson M.,GK,5.5,94,3.9,3.7,3.3,3.7,2.9,17.5,0.64,3.6%
Cucurella,DEF,6.0,89,3.9,3.5,4.0,3.0,3.0,17.5,0.58,18.9%
Saliba,DEF,6.0,90,3.6,4.3,2.5,4.0,3.0,17.4,0.58,13.5%
Minteh,MID,6.0,77,4.1,3.4,3.2,3.2,3.4,17.3,0.58,1.4%
João Pedro,FWD,7.5,71,3.9,3.2,3.7,3.4,3.1,17.3,0.46,54.8%
Caicedo,MID,5.5,90,3.7,3.5,3.6,3.3,3.2,17.2,0.63,6.2%
N.Williams,DEF,5.0,88,4.0,3.3,4.0,2.3,3.5,17.1,0.69,8.4%
Milenković,DEF,5.5,90,3.9,3.3,3.9,2.4,3.7,17.1,0.62,9.8%
Cunha,MID,8.0,74,3.2,3.2,4.3,2.9,3.4,17.1,0.43,9.2%
Wilson,MID,5.5,71,3.5,3.8,2.8,3.6,3.2,17.0,0.62,1.2%
Mbeumo,MID,8.0,77,3.4,3.5,3.8,2.7,3.4,16.9,0.42,15.8%
Sels,GK,5.0,94,3.6,3.2,3.6,2.8,3.6,16.9,0.67,20.2%
Richards,DEF,4.5,88,2.7,3.8,2.8,4.4,3.1,16.8,0.75,1.6%
Vicario,GK,5.0,92,4.0,2.9,3.5,3.3,3.1,16.8,0.67,3.6%
Pickford,GK,5.5,93,3.5,3.5,3.5,3.4,2.8,16.7,0.61,12.0%
Szoboszlai,MID,6.5,67,4.1,2.9,2.8,3.3,3.5,16.6,0.51,2.0%
Branthwaite,DEF,5.5,90,3.7,3.6,3.7,3.2,2.4,16.6,0.60,1.9%
Guéhi,DEF,4.5,92,2.6,3.8,2.6,4.4,3.1,16.6,0.74,13.4%
Leno,GK,5.0,92,3.1,3.5,2.9,3.6,3.4,16.4,0.66,1.7%
Collins,DEF,5.0,91,3.4,3.1,3.9,2.9,3.1,16.4,0.65,1.9%
Reijnders,MID,5.5,77,3.7,3.5,3.1,3.4,2.7,16.4,0.59,12.3%
Petrović,GK,4.5,94,2.8,3.8,3.2,3.4,3.2,16.3,0.73,3.7%
Tonali,MID,5.5,88,3.2,3.2,3.4,3.5,3.0,16.3,0.59,2.1%
Wan-Bissaka,DEF,4.5,92,4.1,2.8,2.9,3.2,3.3,16.3,0.72,29.2%
Verbruggen,GK,4.5,93,3.6,3.3,3.0,3.1,3.3,16.3,0.72,7.9%
Füllkrug,FWD,6.0,75,4.0,3.3,2.9,3.1,3.0,16.2,0.54,3.2%
Romero,DEF,5.0,89,4.4,2.3,3.6,3.2,2.8,16.2,0.65,2.1%
Schär,DEF,5.5,86,3.2,3.0,3.5,3.6,2.8,16.2,0.59,2.4%
Gomes,MID,5.5,86,3.1,3.3,3.3,3.1,3.4,16.1,0.59,0.1%
Aït-Nouri,DEF,6.0,74,4.1,3.5,2.9,3.4,2.2,16.1,0.54,21.5%
Konsa,DEF,4.5,90,3.2,3.0,3.4,3.0,3.6,16.1,0.72,24.3%
Anthony,MID,5.5,73,3.0,4.0,3.0,2.8,3.1,16.0,0.58,0.1%
Baleba,MID,5.0,88,3.6,3.1,3.0,3.1,3.2,15.9,0.64,5.1%
Gana,MID,5.5,89,3.5,3.2,3.3,3.0,2.8,15.9,0.58,0.1%
Adingra,MID,5.5,80,3.6,3.3,3.4,2.8,2.8,15.8,0.58,2.0%
Kilman,DEF,4.5,86,3.8,2.8,3.0,3.0,3.1,15.8,0.70,0.4%
Malen,MID,5.5,66,3.9,3.2,3.0,2.6,3.1,15.8,0.58,2.7%
Henderson,GK,5.0,89,2.8,3.5,2.8,3.7,3.0,15.8,0.63,6.0%
José Sá,GK,4.5,93,3.0,3.0,3.4,2.9,3.5,15.8,0.70,2.3%
Van den Berg,DEF,4.5,90,3.2,3.0,3.8,2.8,3.0,15.7,0.70,0.4%
Roefs,GK,4.5,91,3.2,3.3,3.2,2.9,3.0,15.6,0.69,0.2%
Perri,GK,4.5,90,3.5,2.7,3.1,3.1,3.2,15.6,0.69,0.3%
Cash,DEF,4.5,81,3.2,2.8,3.1,2.8,3.7,15.6,0.69,1.8%
Kelleher,GK,4.5,94,2.4,3.2,3.6,3.0,3.2,15.4,0.69,19.3%
