Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,xMins/£M,Elite%
M.Salah,90,90,87,88,85,82,432,6.0,58.1%
Palmer,89,89,87,87,87,83,433,8.2,54.2%
Haaland,88,88,86,84,79,76,413,5.9,20.5%
Saka,86,86,83,83,80,81,413,8.3,15.1%
B.Fernandes,89,89,86,87,83,82,427,9.5,14.7%
Marmoush,75,75,75,69,68,65,352,8.3,13.6%
Eze,86,86,82,82,78,78,406,10.8,9.2%
Wirtz,87,87,80,75,76,80,398,9.4,32.5%
Watkins,82,82,77,77,75,76,387,8.6,17.3%
Bowen,91,91,86,81,81,83,422,10.6,20.3%
Mateta,86,86,81,83,78,79,407,10.9,6.3%
Gakpo,70,70,68,67,64,71,340,9.1,5.3%
Gibbs-White,88,88,87,83,84,81,423,11.3,4.8%
Semenyo,88,88,85,83,76,80,412,11.8,5.0%
Virgil,91,91,88,87,83,81,430,14.3,24.5%
Evanilson,83,83,80,75,77,77,392,11.2,2.6%
Enzo,90,90,90,88,85,82,435,13.4,4.0%
Ødegaard,84,84,81,80,76,73,394,9.8,3.3%
Tielemans,85,85,85,81,79,80,410,13.7,1.8%
Sarr,83,83,81,78,73,72,387,11.9,2.3%
Rogers,76,76,83,80,78,77,394,11.3,23.1%
Solanke,65,65,77,73,75,69,359,9.6,11.1%
Wood,80,80,79,72,74,74,379,10.1,16.4%
Strand Larsen,85,85,79,80,77,74,395,12.2,5.9%
Ndiaye,78,78,76,72,72,71,369,11.4,13.0%
Anderson,84,84,86,79,86,80,415,15.1,4.9%
L.Paquetá,78,78,76,74,71,73,372,12.4,1.1%
Mitoma,82,82,79,77,81,79,398,12.2,6.1%
Frimpong,79,79,72,70,73,73,367,12.2,25.5%
Cunha,78,78,74,70,75,69,366,9.2,10.3%
Mac Allister,82,82,78,75,79,73,387,11.9,1.5%
Schade,79,79,77,71,72,66,365,10.4,1.9%
Rice,81,81,81,74,76,76,388,11.9,7.5%
Damsgaard,85,85,80,76,79,78,398,13.3,1.2%
Murillo,89,89,87,86,81,82,425,15.5,4.9%
Mbeumo,80,80,79,75,74,72,380,9.5,16.7%
Joelinton,90,90,87,82,81,82,422,14.1,0.5%
Kudus,78,78,71,68,70,65,352,10.8,24.9%
Bruno G.,91,91,83,84,80,82,420,12.9,1.5%
Raya,92,92,93,91,91,87,454,16.5,17.8%
Neto,78,78,71,66,69,65,349,10.0,4.1%
Kluivert,71,71,71,62,60,62,326,9.3,4.8%
Welbeck,70,70,70,76,65,63,344,10.6,7.6%
Lacroix,91,91,86,88,83,81,429,17.2,1.1%
A.Becker,93,93,88,85,85,83,434,15.8,11.1%
Cucurella,92,92,88,83,79,83,425,14.2,18.9%
Iwobi,84,84,77,75,77,77,390,12.0,1.5%
N.Williams,87,87,89,84,82,78,420,16.8,5.0%
Muñoz,90,90,87,84,84,80,425,15.5,8.4%
Gordon,73,73,68,61,59,61,322,8.6,3.1%
Sánchez,94,94,92,92,90,90,458,18.3,15.9%
Konaté,84,84,81,78,75,75,393,14.3,2.9%
Caicedo,87,87,86,87,84,82,426,15.5,7.0%
Gyökeres,46,46,49,52,54,55,256,5.7,22.9%
Ederson M.,95,95,89,88,90,87,449,16.3,3.7%
Schär,90,90,87,80,80,85,422,15.3,2.4%
Andersen,92,92,88,86,83,84,433,19.2,1.5%
Collins,89,89,89,88,87,83,436,17.4,1.7%
Gabriel,72,72,77,81,80,82,392,13.1,21.5%
Ekitiké,53,53,52,54,54,51,264,6.2,5.6%
Georginio,63,63,58,57,59,58,295,9.8,0.4%
Pedro Porro,82,82,81,74,72,72,381,13.9,11.6%
Sels,93,93,92,92,90,92,459,18.4,18.0%
