Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,xMins/£M,Elite%
M.Salah,MID,14.5,92,92,85,85,85,81,428,5.9,58.6%
Palmer,MID,10.5,86,86,88,84,86,83,427,8.1,54.6%
Haaland,FWD,14.0,91,91,83,81,77,77,409,5.8,20.6%
Saka,MID,10.0,87,87,81,80,81,80,409,8.2,15.5%
B.Fernandes,MID,9.0,88,88,84,84,85,84,425,9.4,15.1%
Marmoush,MID,8.5,74,74,74,72,66,69,355,8.4,13.4%
Watkins,FWD,9.0,79,79,79,77,78,76,389,8.6,18.0%
Wirtz,MID,8.5,87,87,81,81,76,75,400,9.4,32.3%
Eze,MID,7.5,86,86,84,80,76,79,405,10.8,9.1%
Bowen,FWD,8.0,91,91,87,85,80,82,425,10.6,20.1%
Mateta,FWD,7.5,87,87,81,81,77,77,403,10.7,6.2%
Rogers,MID,7.0,77,77,81,79,80,81,398,11.4,22.7%
Tielemans,MID,6.0,86,86,80,82,80,82,410,13.7,1.8%
Gibbs-White,MID,7.5,87,87,86,84,83,77,417,11.1,4.8%
Gakpo,MID,7.5,69,69,67,66,66,65,333,8.9,5.6%
Wood,FWD,7.5,80,80,75,75,73,70,373,9.9,16.1%
Ødegaard,MID,8.0,84,84,80,81,77,76,398,9.9,3.3%
Evanilson,FWD,7.0,84,84,80,79,77,76,396,11.3,2.5%
Anderson,MID,5.5,87,87,87,82,81,81,418,15.2,5.2%
Ndiaye,MID,6.5,75,75,77,74,76,75,377,11.6,12.9%
Sarr,MID,6.5,82,82,81,79,78,76,396,12.2,2.3%
Enzo,MID,6.5,88,88,90,88,87,82,435,13.4,3.9%
Rice,MID,6.5,84,84,79,77,78,75,393,12.1,7.4%
Solanke,FWD,7.5,62,62,76,73,75,67,353,9.4,10.5%
Semenyo,MID,7.0,86,86,82,77,78,80,403,11.5,5.0%
Joelinton,MID,6.0,89,89,85,84,85,81,424,14.1,0.5%
Virgil,DEF,6.0,91,91,88,85,82,81,427,14.2,25.2%
Kudus,MID,6.5,79,79,73,72,64,69,357,11.0,24.4%
Strand Larsen,FWD,6.5,84,84,80,73,82,78,397,12.2,5.8%
Gyökeres,FWD,9.0,59,59,54,54,57,59,283,6.3,24.0%
Mitoma,MID,6.5,85,85,81,77,74,75,392,12.1,6.1%
Bruno G.,MID,6.5,89,89,88,87,85,83,432,13.3,1.5%
Mac Allister,MID,6.5,84,84,77,73,74,74,382,11.8,1.5%
Iwobi,MID,6.5,84,84,80,78,75,76,393,12.1,1.5%
Frimpong,DEF,6.0,77,77,74,72,69,67,359,12.0,25.2%
Murillo,DEF,5.5,88,88,86,77,81,79,411,14.9,5.0%
Damsgaard,MID,6.0,86,86,83,79,78,77,403,13.4,1.2%
A.Becker,GK,5.5,93,93,89,91,85,85,443,16.1,11.2%
Raya,GK,5.5,93,93,90,90,89,90,452,16.4,17.7%
L.Paquetá,MID,6.0,80,80,77,74,69,70,370,12.3,1.1%
Cunha,MID,8.0,73,73,73,66,71,71,354,8.8,10.1%
Georginio,MID,6.0,70,70,69,64,62,58,323,10.8,0.5%
N.Williams,DEF,5.0,90,90,86,84,85,76,421,16.8,5.5%
Gabriel,DEF,6.0,80,80,84,80,81,82,407,13.6,21.2%
Tarkowski,DEF,5.5,92,92,89,87,87,84,439,16.0,5.1%
Pedro Porro,DEF,5.5,81,81,82,77,77,74,391,14.2,11.9%
Cucurella,DEF,6.0,90,90,85,82,80,84,421,14.0,18.8%
Sánchez,GK,5.0,93,93,92,91,92,90,458,18.3,16.8%
Gordon,MID,7.5,70,70,68,66,63,61,328,8.7,3.0%
Schade,MID,7.0,76,57,76,74,74,74,355,10.1,1.7%
