Name,Position,Price,xMins,GW4,GW5,GW6,GW7,Total,/£M,Elite%
M.Salah,MID,14.5,87,87,84,85,81,337,5.8,95.5%
Gyökeres,FWD,9.0,86,86,82,80,77,325,9.0,40.3%
Haaland,FWD,14.1,86,86,87,80,78,331,5.9,4.8%
Palmer,MID,10.4,76,76,85,83,82,326,7.8,12.5%
B.Fernandes,MID,9.0,91,91,86,83,79,339,9.4,93.0%
Watkins,FWD,8.9,84,84,81,72,78,315,8.8,46.8%
Mateta,FWD,7.5,88,88,86,82,81,337,11.2,60.0%
Virgil,DEF,6.0,92,92,91,85,84,352,14.7,5.3%
Semenyo,MID,7.4,86,86,81,81,83,331,11.2,6.5%
Evanilson,FWD,7.0,84,84,81,80,79,324,11.6,13.7%
Rogers,MID,7.0,88,88,83,81,80,332,11.9,11.3%
Mbeumo,MID,8.1,85,85,76,76,80,317,9.8,3.7%
Ødegaard,MID,7.9,82,82,79,70,72,303,9.6,0.0%
Cunha,MID,8.1,70,53,81,77,78,289,8.9,11.4%
Georginio,MID,5.9,77,77,73,76,75,301,12.8,19.1%
Wirtz,MID,8.4,74,74,70,67,61,272,8.1,64.0%
Rice,MID,6.5,86,86,83,79,78,326,12.5,0.1%
João Pedro,FWD,7.7,75,75,75,76,75,301,9.8,17.3%
Gakpo,MID,7.7,70,70,65,60,63,258,8.4,5.5%
Gabriel,DEF,6.1,92,92,88,83,81,344,14.1,1.8%
Tielemans,MID,5.9,90,90,86,83,82,341,14.4,19.4%
Ndiaye,MID,6.5,75,75,70,74,69,288,11.1,2.8%
Xavi,MID,7.0,60,60,80,78,77,295,10.5,0.0%
Kluivert,MID,7.0,68,68,72,67,65,272,9.7,0.1%
Wood,FWD,7.7,78,78,74,73,70,295,9.6,14.5%
Raya,GK,5.5,93,93,93,89,91,366,16.6,1.2%
Muñoz,DEF,5.5,90,90,87,88,84,349,15.9,6.9%
Marmoush,MID,8.4,50,50,54,54,49,207,6.2,0.2%
Rodrigo,MID,6.4,88,88,88,84,87,347,13.6,0.0%
Mitoma,MID,6.4,83,83,82,79,78,322,12.6,4.0%
Tarkowski,DEF,5.5,90,90,91,89,87,357,16.2,8.5%
Senesi,DEF,4.6,92,92,85,85,85,347,18.9,2.0%
Mac Allister,MID,6.4,78,78,75,74,72,299,11.7,0.0%
Martinez,GK,5.0,93,93,90,91,92,366,18.3,0.6%
A.Becker,GK,5.5,93,93,92,85,85,355,16.1,0.3%
Strand Larsen,FWD,6.4,83,83,77,72,72,304,11.9,41.7%
Bowen,FWD,7.8,90,90,87,87,85,349,11.2,1.6%
Gibbs-White,MID,7.5,80,80,76,75,78,309,10.3,0.3%
Kudus,MID,6.6,78,78,73,75,68,294,11.1,9.0%
Murillo,DEF,5.5,89,89,82,80,89,340,15.5,67.3%
Lacroix,DEF,5.0,89,89,87,81,86,343,17.1,3.5%
Cash,DEF,4.5,83,83,74,75,75,307,17.1,0.0%
Schade,MID,7.0,76,76,75,75,70,296,10.6,0.0%
Donnarumma,GK,5.5,93,93,93,93,91,370,16.8,0.0%
Thiago,FWD,6.0,80,80,80,67,71,298,12.4,9.2%
Saka,MID,9.9,65,17,57,82,81,237,6.0,0.1%
Calafiori,DEF,5.7,73,73,66,60,56,255,11.2,0.0%
Enzo,MID,6.6,88,88,85,85,85,343,13.0,0.8%
Konsa,DEF,4.5,91,91,88,87,84,350,19.4,6.0%
Iwobi,MID,6.5,80,80,75,74,73,302,11.6,0.0%
Anderson,MID,5.5,83,83,79,76,79,317,14.4,25.7%
Konaté,DEF,5.5,84,84,79,77,76,316,14.4,0.0%
O.Dango,MID,6.0,81,81,78,77,76,312,13.0,5.0%
Richards,DEF,4.5,90,90,87,84,78,339,18.8,14.2%
Šeško,FWD,7.4,65,65,71,71,72,279,9.4,0.0%
