Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,/£M,Elite%
M.Salah,MID,14.5,88,88,90,84,84,79,425,5.9,53.6%
Palmer,MID,10.5,90,90,88,85,86,84,433,8.2,61.4%
Haaland,FWD,14.0,85,85,85,81,77,80,408,5.8,23.3%
Saka,MID,10.0,88,88,84,77,81,77,407,8.1,17.3%
B.Fernandes,MID,9.0,90,90,87,89,86,85,437,9.7,21.0%
Eze,MID,7.5,88,88,84,81,83,80,416,11.1,10.4%
Marmoush,MID,8.5,73,73,66,70,66,62,337,7.9,12.2%
Watkins,FWD,9.0,86,86,80,79,77,82,404,9.0,25.0%
Mateta,FWD,7.5,86,86,86,81,78,81,412,11.0,9.1%
Wirtz,MID,8.5,82,82,82,80,74,79,397,9.3,34.9%
Evanilson,FWD,7.0,90,90,84,82,81,80,417,11.9,2.1%
Semenyo,MID,7.0,90,90,87,82,79,74,412,11.8,5.2%
Gyökeres,FWD,9.0,66,66,59,66,68,69,328,7.3,26.0%
Bowen,FWD,8.0,88,88,87,86,82,81,424,10.6,18.5%
Sarr,MID,6.5,81,81,83,77,75,76,392,12.1,5.4%
Gakpo,MID,7.5,67,67,62,64,71,65,329,8.8,6.8%
L.Paquetá,MID,6.0,79,79,80,80,78,74,391,13.0,1.2%
Georginio,MID,6.0,76,76,75,71,65,66,353,11.8,1.1%
Strand Larsen,FWD,6.5,82,82,81,78,81,77,399,12.3,5.1%
Ekitiké,FWD,8.5,69,69,65,61,56,58,309,7.3,13.4%
Virgil,DEF,6.0,91,91,87,86,83,83,430,14.3,23.5%
Ødegaard,MID,8.0,82,82,78,79,76,77,392,9.8,3.3%
Tielemans,MID,6.0,87,87,82,84,82,80,415,13.8,2.2%
Enzo,MID,6.5,90,90,87,87,87,88,439,13.5,3.6%
Mitoma,MID,6.5,84,84,86,79,77,73,399,12.3,7.1%
Mac Allister,MID,6.5,79,79,80,77,77,73,386,11.9,1.6%
Murillo,DEF,5.5,87,87,86,83,84,84,424,15.4,6.3%
Rogers,MID,7.0,78,67,83,81,82,76,389,11.1,10.2%
Wood,FWD,7.5,83,83,78,75,77,77,390,10.4,13.7%
Damsgaard,MID,6.0,86,86,79,81,80,75,401,13.4,1.2%
Rice,MID,6.5,82,82,81,80,76,75,394,12.1,7.6%
Ndiaye,MID,6.5,78,78,74,69,70,69,360,11.1,13.0%
Tavernier,MID,5.5,82,82,77,73,72,76,380,13.8,0.3%
Gordon,MID,7.5,72,65,70,71,61,62,329,8.8,1.4%
Frimpong,DEF,6.0,79,79,68,70,68,64,349,11.6,30.7%
J.Arias,MID,5.5,76,76,75,75,72,74,372,13.5,0.9%
Muñoz,DEF,5.5,89,89,89,82,86,79,425,15.5,8.9%
Joelinton,MID,6.0,85,85,83,83,79,73,403,13.4,0.5%
Schade,MID,7.0,78,59,73,65,71,71,339,9.7,0.6%
Gibbs-White,MID,7.5,84,84,75,74,76,75,384,10.2,5.3%
Anderson,MID,5.5,82,82,80,77,77,70,386,14.0,7.1%
Iwobi,MID,6.5,84,84,80,77,74,76,391,12.0,1.7%
Thiago,FWD,6.0,77,77,71,71,58,46,323,10.8,0.9%
Solanke,FWD,7.5,45,45,58,71,75,71,320,8.5,5.5%
A.Becker,GK,5.5,93,93,91,88,83,82,437,15.9,11.2%
Lacroix,DEF,5.0,90,90,87,86,82,81,426,17.0,1.1%
Raya,GK,5.5,93,93,91,91,87,86,448,16.3,16.8%
Bruno G.,MID,6.5,91,91,89,85,78,84,427,13.1,1.7%
Malen,MID,5.5,67,67,67,61,59,59,313,11.4,2.4%
Raúl,FWD,6.5,79,79,72,65,57,57,330,10.2,2.3%
