Name,xMins,GW1,GW2,GW3,GW4,GW5,Total,xMins/£M,Elite%
M.Salah,89,89,87,85,83,82,426,5.9,56.8%
Palmer,89,89,87,86,81,80,423,8.1,53.0%
Haaland,89,89,85,80,79,80,413,5.9,19.6%
Marmoush,77,77,73,72,72,70,364,8.6,14.0%
Watkins,85,85,82,85,85,81,418,9.3,14.3%
B.Fernandes,90,90,88,86,85,83,432,9.6,13.3%
Wirtz,85,85,81,78,76,77,397,9.3,33.6%
Saka,89,89,83,83,80,76,411,8.2,15.6%
Isak,87,87,83,80,79,80,409,7.8,28.6%
Eze,88,88,80,80,78,81,407,10.9,9.1%
Solanke,80,80,77,78,74,75,384,10.2,12.8%
Rogers,89,89,84,84,85,81,423,12.1,25.4%
Gibbs-White,89,89,82,83,80,79,413,11.0,4.7%
Bowen,88,88,86,82,84,82,422,10.6,19.8%
Wood,81,81,74,76,73,74,378,10.1,16.3%
Sarr,83,83,81,78,77,74,393,12.1,2.2%
Neto,84,84,80,79,80,74,397,11.3,4.4%
Gakpo,68,68,66,62,62,58,316,8.4,3.9%
Virgil,88,88,89,86,86,77,426,14.2,22.7%
Frimpong,78,78,78,74,72,72,374,12.5,26.2%
Mitoma,83,83,81,80,77,76,397,12.2,5.8%
Semenyo,87,87,84,80,79,78,408,11.7,5.1%
Ødegaard,83,83,77,76,75,71,382,9.6,3.3%
Tielemans,84,84,79,82,80,78,403,13.4,1.6%
Ndiaye,79,79,76,76,75,72,378,11.6,12.3%
Evanilson,84,84,78,75,79,73,389,11.1,2.5%
Mbeumo,79,79,78,79,72,72,380,9.5,17.0%
Mateta,69,69,67,68,65,66,335,8.9,6.3%
Welbeck,76,76,73,74,72,68,363,11.2,7.8%
Murillo,88,88,87,84,83,82,424,15.4,4.6%
Enzo,89,89,89,84,82,84,428,13.2,4.1%
Muñoz,88,88,88,86,85,82,429,15.6,8.6%
Strand Larsen,81,81,79,75,76,75,386,11.9,5.9%
Mac Allister,84,84,79,73,76,73,385,11.8,1.5%
Schade,77,77,76,74,75,72,374,10.7,2.0%
A.Becker,93,93,89,86,84,87,439,16.0,10.8%
Rice,84,84,75,81,75,74,389,12.0,7.4%
Pedro Porro,76,76,82,75,80,74,387,14.1,10.9%
Bruno G.,89,89,86,86,83,84,428,13.2,1.4%
Lacroix,90,90,86,84,86,82,428,17.1,1.0%
Cunha,72,72,74,71,68,68,353,8.8,10.7%
