Pos,ID,Name,BV,SV,Team,2_xMins,3_xMins,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,13_xMins,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts,13_Pts
G,1,Raya,5.5,5.5,Arsenal,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,4.22,2.99,4.23,3.29,3.38,4.23,3.96,4.31,4.38,4.24,3.84,3.37
G,2,Arrizabalaga,4.5,4.5,Arsenal,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,0.05,0.04,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.04
G,3,Hein,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,4,Setford,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,6.0,6.0,Arsenal,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,5.12,3.30,4.89,3.77,3.89,5.12,4.43,4.87,5.27,5.17,4.71,3.57
D,6,Saliba,6.0,6.0,Arsenal,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,4.79,3.16,4.56,3.56,3.64,4.80,4.28,4.61,5.07,4.86,4.41,3.33
D,7,Calafiori,5.5,5.5,Arsenal,48.60,48.60,48.60,48.60,48.60,48.60,48.60,48.60,48.60,48.60,48.60,48.60,2.64,1.71,2.50,2.00,2.07,2.68,2.28,2.55,2.73,2.66,2.45,1.89
D,8,J.Timber,5.5,5.5,Arsenal,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,1.89,1.19,1.86,1.42,1.45,1.93,1.65,1.85,1.98,1.95,1.73,1.35
D,9,Kiwior,5.5,5.5,Arsenal,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,0.24,0.21,0.23,0.22,0.21,0.24,0.23,0.23,0.24,0.24,0.23,0.21
D,10,Lewis-Skelly,5.5,5.5,Arsenal,46.65,46.65,46.65,46.65,46.65,46.65,46.65,46.65,46.65,46.65,46.65,46.65,2.52,1.53,2.39,1.88,1.92,2.56,2.18,2.41,2.61,2.53,2.29,1.78
D,11,White,5.5,5.5,Arsenal,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75,2.94,1.86,2.86,2.23,2.27,3.06,2.55,2.84,3.13,3.05,2.72,2.08
D,12,Zinchenko,5.0,5.0,Arsenal,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,0.34,0.27,0.32,0.30,0.29,0.34,0.30,0.32,0.33,0.33,0.31,0.29
D,13,Clarke,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,14,Kacurri,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,10.0,10.0,Arsenal,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,6.65,4.22,5.99,5.06,4.96,6.46,5.23,5.92,6.32,6.33,6.02,4.79
M,17,Ødegaard,8.0,8.0,Arsenal,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,5.26,3.50,4.78,4.18,4.18,5.19,4.30,4.82,5.07,5.09,4.86,3.87
M,18,Madueke,7.0,7.0,Arsenal,34.20,34.20,34.20,34.20,34.20,34.20,34.20,34.20,34.20,34.20,34.20,34.20,2.41,1.64,2.17,1.94,1.89,2.34,1.99,2.22,2.29,2.32,2.24,1.81
M,19,Martinelli,7.0,7.0,Arsenal,53.10,53.10,53.10,53.10,53.10,53.10,53.10,53.10,53.10,53.10,53.10,53.10,3.65,2.42,3.29,2.93,2.79,3.54,3.00,3.35,3.53,3.53,3.35,2.68
M,20,Trossard,7.0,7.0,Arsenal,33.30,33.30,33.30,33.30,33.30,33.30,33.30,33.30,33.30,33.30,33.30,33.30,2.51,1.65,2.21,1.93,1.92,2.40,2.03,2.26,2.34,2.38,2.25,1.84
M,21,Rice,6.5,6.5,Arsenal,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,4.60,3.47,4.38,3.76,3.90,4.74,4.01,4.46,4.63,4.61,4.61,3.66
M,22,Merino,6.0,6.0,Arsenal,31.50,31.50,31.50,31.50,31.50,31.50,31.50,31.50,31.50,31.50,31.50,31.50,2.00,1.44,1.74,1.61,1.57,1.83,1.63,1.78,1.84,1.86,1.83,1.50
M,23,Fábio Vieira,5.5,5.5,Arsenal,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,0.27,0.19,0.24,0.22,0.22,0.26,0.22,0.25,0.26,0.26,0.25,0.21
M,24,Nørgaard,5.5,5.5,Arsenal,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,0.39,0.33,0.37,0.34,0.35,0.39,0.36,0.38,0.38,0.39,0.39,0.33
M,25,Nwaneri,5.5,5.5,Arsenal,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,1.30,0.94,1.17,1.08,1.04,1.23,1.07,1.19,1.23,1.26,1.20,1.01
M,26,Zubimendi,5.5,5.5,Arsenal,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,3.74,3.11,3.54,3.23,3.37,3.85,3.41,3.70,3.74,3.84,3.79,3.10
M,27,Nelson,5.0,5.0,Arsenal,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,0.11,0.07,0.10,0.09,0.08,0.10,0.09,0.10,0.10,0.10,0.10,0.08
M,28,Kabia,4.5,4.5,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,29,Sambi,4.5,4.5,Arsenal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
F,30,Havertz,7.5,7.5,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,31,G.Jesus,6.5,6.5,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,32,Martinez,5.0,5.0,Aston Villa,88.95,88.95,88.95,88.95,88.95,88.95,88.95,88.95,88.95,88.95,88.95,88.95,3.56,3.91,3.18,3.56,3.62,4.04,2.78,2.53,2.24,3.54,3.44,3.72
G,33,M.Bizot,4.5,4.5,Aston Villa,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,0.04,0.05,0.04,0.05,0.04,0.05,0.04,0.04,0.03,0.04,0.04,0.05
G,34,Gauci,4.0,4.0,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,35,Marschall,4.0,4.0,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,36,Cash,4.5,4.5,Aston Villa,79.20,79.20,79.20,79.20,79.20,79.20,79.20,79.20,79.20,79.20,79.20,79.20,3.26,3.65,3.16,3.80,3.51,4.38,2.74,2.43,1.95,3.40,3.29,3.74
D,37,Digne,4.5,4.5,Aston Villa,51.00,51.00,51.00,51.00,51.00,51.00,51.00,51.00,51.00,51.00,51.00,51.00,2.53,2.77,2.40,2.91,2.69,3.34,2.11,1.90,1.55,2.63,2.52,2.87
