Name,Position,Price,xMins,GW16,GW17,GW18,GW19,Total,/£M,Elite%
Haaland,FWD,15.0,87,5.5,7.7,5.5,6.4,25.1,0.42,98.2%
B.Fernandes,MID,9.2,90,5.8,4.9,5.4,6.8,22.9,0.62,94.3%
Saka,MID,10.2,80,6.8,4.9,5.5,5.2,22.4,0.55,71.5%
Thiago,FWD,7.1,89,5.4,4.8,4.6,4.5,19.4,0.68,49.5%
Foden,MID,8.7,81,4.3,5.8,4.4,4.6,19.1,0.55,74.5%
Cunha,MID,7.9,80,4.8,4.1,4.3,5.8,19.0,0.60,14.6%
Palmer,MID,10.3,73,4.9,4.1,4.8,5.0,18.8,0.46,0.3%
Mateta,FWD,7.9,74,3.2,4.9,5.2,5.3,18.6,0.59,52.6%
Virgil,DEF,5.9,92,4.3,4.1,4.6,4.5,17.5,0.74,72.1%
Isak,FWD,10.4,54,2.5,4.5,5.7,4.7,17.4,0.42,0.0%
Wirtz,MID,8.0,75,4.2,4.0,4.6,4.2,16.9,0.53,0.3%
Szoboszlai,MID,6.7,86,4.6,3.5,4.4,4.3,16.9,0.63,3.1%
Ekitiké,FWD,8.5,76,4.3,3.7,4.5,4.1,16.7,0.49,0.0%
O’Reilly,DEF,5.2,78,3.5,4.8,3.9,4.3,16.5,0.79,15.4%
Raya,GK,6.0,92,4.5,4.0,4.0,3.9,16.3,0.68,72.2%
Semenyo,MID,7.6,86,4.0,5.2,3.9,3.2,16.3,0.54,27.3%
Gordon,MID,7.2,76,4.4,3.9,3.6,4.3,16.3,0.57,6.0%
J.Timber,DEF,6.5,77,3.8,4.1,4.3,4.2,16.3,0.63,49.1%
Raúl,FWD,6.3,80,4.6,4.8,4.0,2.9,16.2,0.64,0.9%
Ødegaard,MID,7.8,71,4.9,3.6,4.0,3.7,16.1,0.52,0.0%
João Pedro,FWD,7.3,80,4.2,3.7,3.9,4.2,16.0,0.55,1.2%
Damsgaard,MID,5.8,76,4.2,4.1,3.8,3.9,15.9,0.68,0.1%
Rice,MID,7.1,86,3.9,4.0,3.9,3.9,15.7,0.55,0.7%
Woltemade,FWD,7.5,73,3.8,4.1,3.5,4.3,15.7,0.52,10.1%
Enzo,MID,6.6,88,4.2,3.5,3.8,4.1,15.6,0.59,28.5%
Andersen,DEF,4.6,91,4.3,4.2,3.7,3.3,15.6,0.85,86.4%
Doku,MID,6.6,66,3.4,4.5,3.7,3.9,15.5,0.59,0.4%
Neto,MID,7.3,75,4.2,3.5,3.8,4.0,15.4,0.53,0.1%
Van den Berg,DEF,4.5,92,4.1,4.0,3.6,3.6,15.3,0.85,8.9%
Bowen,FWD,7.5,88,4.0,3.2,4.1,3.9,15.1,0.50,0.3%
A.Becker,GK,5.4,93,3.8,3.5,4.1,3.7,15.1,0.70,0.3%
Welbeck,FWD,6.5,79,3.5,4.8,2.9,3.9,15.1,0.58,11.2%
Minteh,MID,6.2,84,3.5,4.6,3.0,4.0,15.1,0.61,69.5%
Konaté,DEF,5.4,88,3.9,3.4,4.0,3.7,15.0,0.70,0.4%
Yeremy,MID,5.8,74,3.5,3.8,4.0,3.7,15.0,0.64,0.0%
Lacroix,DEF,5.1,89,3.2,3.8,4.0,4.0,14.9,0.73,30.3%
Gvardiol,DEF,5.9,83,3.4,4.2,3.5,3.7,14.8,0.63,2.3%
Donnarumma,GK,5.7,94,3.6,3.7,3.7,3.8,14.8,0.65,2.5%
Mitchell,DEF,5.0,92,3.0,3.7,4.0,4.1,14.8,0.74,0.0%
Wilson,MID,5.4,64,3.5,4.1,3.9,3.2,14.7,0.68,0.1%
Watkins,FWD,8.5,70,4.1,4.3,3.4,2.9,14.7,0.43,0.2%
Tavernier,MID,5.5,73,3.4,4.7,3.5,3.1,14.7,0.67,2.9%
Richards,DEF,4.6,88,3.2,3.7,3.9,3.8,14.7,0.80,24.0%
Guéhi,DEF,5.2,90,3.0,3.8,3.9,3.8,14.6,0.70,1.1%
L.Paquetá,MID,5.9,84,3.8,3.1,3.8,3.8,14.5,0.62,0.8%
Rogers,MID,7.0,86,4.3,4.2,3.2,2.8,14.5,0.52,0.1%
Kudus,MID,6.5,78,4.0,3.7,3.3,3.4,14.4,0.56,0.0%
Gibbs-White,MID,7.3,85,4.0,3.6,3.1,3.7,14.4,0.49,0.0%
Kelleher,GK,4.5,94,3.7,3.7,3.4,3.5,14.3,0.79,3.9%
Bruno G.,MID,7.0,88,4.0,3.5,3.2,3.6,14.3,0.51,1.1%
Dewsbury-Hall,MID,5.1,85,3.2,3.3,4.1,3.7,14.2,0.70,18.5%
Tarkowski,DEF,5.5,91,3.2,3.3,4.1,3.6,14.2,0.64,30.3%
Calvert-Lewin,FWD,5.6,78,3.8,3.9,3.5,2.9,14.2,0.63,5.5%
Rúben,DEF,5.6,85,3.3,3.8,3.4,3.6,14.1,0.63,0.1%
Cucurella,DEF,6.2,85,4.1,2.9,3.4,3.6,14.1,0.57,0.2%
E.Le Fée,MID,4.9,81,3.8,3.3,3.8,3.2,14.1,0.72,1.0%
Georginio,MID,5.6,73,3.2,4.3,2.6,3.9,14.0,0.62,0.3%
Leno,GK,4.9,95,3.8,3.7,3.5,3.0,13.9,0.71,0.0%
Matheus N.,DEF,5.3,78,3.1,4.1,3.2,3.5,13.9,0.66,0.0%
Sánchez,GK,4.9,90,3.7,3.2,3.5,3.6,13.9,0.71,3.4%
Anderson,MID,5.4,87,3.9,3.5,3.2,3.3,13.9,0.64,30.5%
Collins,DEF,4.9,90,4.0,3.6,3.1,3.1,13.9,0.71,2.6%
Henderson,GK,5.1,94,3.1,3.5,3.5,3.6,13.8,0.68,0.0%
Lammens,GK,5.1,93,3.5,3.1,3.2,3.9,13.7,0.67,0.1%
Evanilson,FWD,7.0,74,3.3,4.1,3.3,3.0,13.7,0.49,0.2%
Kayode,DEF,4.5,89,3.8,3.6,3.1,3.2,13.7,0.76,0.1%
Thiaw,DEF,5.0,90,4.0,3.2,2.9,3.6,13.7,0.69,18.8%
Schade,MID,7.0,0,0.0,4.6,4.6,4.4,13.7,0.49,2.3%
Dalot,DEF,4.4,65,2.8,2.9,3.4,4.6,13.7,0.78,0.2%
Mac Allister,MID,6.2,72,3.3,3.2,3.8,3.3,13.6,0.55,0.0%
Kamada,MID,5.0,74,3.2,3.3,3.5,3.5,13.6,0.68,0.0%
Gravenberch,MID,5.6,88,3.5,3.3,3.6,3.1,13.5,0.60,0.0%
Tete,DEF,4.5,84,3.8,3.6,3.3,2.7,13.4,0.75,0.7%
Tielemans,MID,5.9,84,3.8,3.5,3.2,2.9,13.3,0.56,0.1%
Keane,DEF,4.6,84,2.9,2.9,3.9,3.6,13.3,0.72,8.2%
Stach,MID,4.8,86,3.5,3.5,3.4,2.8,13.3,0.69,6.8%
Petrović,GK,4.5,94,3.1,4.0,3.2,2.9,13.2,0.73,7.7%
Murillo,DEF,5.2,88,3.7,3.3,2.7,3.5,13.2,0.63,0.1%
Tonali,MID,5.3,84,3.7,3.1,3.0,3.4,13.2,0.62,0.0%
Igor Jesus,FWD,5.8,79,4.1,3.3,2.8,3.0,13.1,0.57,0.0%
Vicario,GK,4.9,92,3.5,3.2,3.2,3.3,13.1,0.67,0.1%
Pedro Porro,DEF,5.3,90,3.8,3.2,2.9,3.2,13.1,0.62,0.6%
Verbruggen,GK,4.4,92,2.9,4.0,2.8,3.5,13.1,0.74,11.5%
Pickford,GK,5.5,93,3.0,3.0,3.6,3.5,13.1,0.59,0.3%
Eze,MID,7.8,62,4.7,2.9,2.9,2.6,13.0,0.42,0.2%
Chalobah,DEF,5.4,80,3.8,2.8,3.0,3.4,13.0,0.60,0.4%
Cherki,MID,6.4,55,3.0,3.9,2.9,3.2,13.0,0.51,0.0%
Nketiah,FWD,5.4,54,2.7,3.2,3.5,3.5,12.9,0.60,0.0%
Dúbravka,GK,4.0,93,3.4,3.0,3.4,3.1,12.9,0.81,92.6%
Grealish,MID,6.6,84,3.1,3.0,3.6,3.1,12.9,0.49,0.1%
Roefs,GK,4.7,93,3.3,3.0,3.6,2.9,12.8,0.68,0.2%
Estève,DEF,3.9,93,3.5,3.0,3.4,2.9,12.8,0.82,10.2%
Senesi,DEF,5.0,80,2.2,4.5,3.3,2.7,12.8,0.64,34.5%
Reijnders,MID,5.2,59,2.7,3.8,3.0,3.2,12.7,0.61,6.7%
Strand Larsen,FWD,6.2,80,2.7,3.9,2.9,3.2,12.7,0.51,0.4%
Perri,GK,4.5,93,3.1,3.3,3.3,2.8,12.6,0.70,0.0%
James,DEF,5.6,73,4.0,2.4,3.1,3.1,12.6,0.56,0.2%
Cash,DEF,4.9,89,4.2,3.7,2.5,2.2,12.6,0.64,0.2%
Kevin,MID,5.8,52,2.7,3.7,3.3,2.9,12.6,0.54,0.0%
Zubimendi,MID,5.3,82,3.6,2.9,3.0,3.0,12.6,0.59,0.0%
Rodon,DEF,4.1,91,3.2,3.3,3.7,2.3,12.5,0.76,37.4%
Clyne,DEF,3.8,84,2.6,3.2,3.3,3.4,12.5,0.82,0.0%
