Name,Position,Price,xMins,GW4,GW5,GW6,GW7,Total,/£M,Elite%
M.Salah,MID,14.5,89,6.8,6.8,5.7,5.1,24.4,0.42,95.5%
Haaland,FWD,14.1,87,6.0,4.2,6.5,5.3,22.1,0.39,4.8%
Gyökeres,FWD,9.0,83,6.0,5.1,4.5,6.3,21.9,0.61,40.3%
B.Fernandes,MID,9.0,89,4.2,5.0,4.9,6.3,20.5,0.57,93.0%
Palmer,MID,10.4,76,4.8,4.9,5.6,4.7,20.0,0.48,12.5%
Watkins,FWD,8.9,83,4.3,5.0,4.9,5.3,19.3,0.54,46.8%
Mateta,FWD,7.5,88,6.0,4.4,3.9,4.0,18.3,0.61,60.0%
Wirtz,MID,8.4,76,4.8,4.9,4.1,3.8,17.6,0.52,64.0%
Rogers,MID,7.0,88,3.8,4.3,4.1,4.5,16.7,0.60,11.3%
Mbeumo,MID,8.0,81,3.3,3.9,3.9,5.5,16.6,0.52,3.7%
Sarr,MID,6.5,84,5.2,4.2,3.6,3.6,16.6,0.64,31.8%
Ødegaard,MID,7.9,83,4.6,3.8,3.7,4.4,16.4,0.52,0.0%
Semenyo,MID,7.3,84,4.3,4.1,3.8,4.3,16.4,0.56,6.5%
Virgil,DEF,6.0,92,4.6,4.4,3.9,3.3,16.3,0.68,5.3%
Evanilson,FWD,7.0,81,4.2,4.0,3.8,4.2,16.3,0.58,13.7%
Cunha,MID,8.1,80,3.3,3.8,3.9,5.2,16.2,0.50,11.4%
Wood,FWD,7.7,85,3.4,4.2,5.0,3.6,16.2,0.52,14.5%
Ekitiké,FWD,8.7,72,4.6,4.3,3.9,3.3,16.1,0.46,1.6%
Gakpo,MID,7.6,70,4.4,4.4,3.8,3.4,16.0,0.53,5.5%
Xavi Simons,MID,99.9,67,3.7,3.7,4.6,4.0,16.0,0.04,0.0%
Rice,MID,6.5,84,4.3,3.6,3.6,4.3,15.8,0.61,0.1%
Gabriel,DEF,6.1,91,4.5,3.5,3.4,4.4,15.8,0.65,1.8%
Murillo,DEF,5.5,90,3.1,4.1,5.1,3.5,15.8,0.72,67.3%
Ndiaye,MID,6.5,74,4.1,3.1,4.3,4.1,15.5,0.60,2.8%
Kluivert,MID,7.0,71,4.1,3.8,3.7,4.0,15.5,0.55,0.1%
Kudus,MID,6.6,80,4.2,3.5,4.3,3.5,15.5,0.59,9.0%
Raya,GK,5.5,93,4.1,3.6,3.5,4.1,15.4,0.70,1.2%
Martinez,GK,5.0,94,3.6,4.0,3.8,4.0,15.3,0.77,0.6%
Tielemans,MID,6.0,88,3.6,4.0,3.8,3.8,15.3,0.64,19.4%
Pedro Porro,DEF,5.6,85,4.2,3.0,4.5,3.6,15.3,0.68,95.8%
Muñoz,DEF,5.5,92,5.4,3.7,2.6,3.2,14.9,0.68,6.9%
Iwobi,MID,6.5,80,4.2,4.0,3.2,3.3,14.8,0.57,0.0%
Strand Larsen,FWD,6.5,84,3.5,4.3,3.3,3.7,14.7,0.57,41.7%
Milenković,DEF,5.5,92,2.8,4.0,4.8,3.1,14.7,0.67,3.6%
A.Becker,GK,5.5,93,4.1,3.9,3.4,3.3,14.7,0.67,0.3%
Šeško,FWD,7.5,79,3.2,3.5,3.5,4.5,14.7,0.49,0.0%
Saliba,DEF,6.1,92,4.2,3.2,3.2,4.1,14.7,0.60,0.1%
Bowen,FWD,7.8,89,4.1,4.1,3.4,3.0,14.6,0.47,1.6%
Cash,DEF,4.5,80,3.3,3.9,3.5,3.8,14.6,0.81,0.0%
Konsa,DEF,4.5,87,3.2,3.9,3.5,3.9,14.5,0.81,6.0%
Lacroix,DEF,5.0,89,4.8,3.7,2.8,3.2,14.5,0.72,3.5%
Enzo,MID,6.5,89,3.8,3.6,3.8,3.2,14.5,0.56,0.8%
Mitoma,MID,6.4,80,3.7,3.9,3.2,3.6,14.4,0.56,4.0%
Tarkowski,DEF,5.5,92,3.8,2.6,4.2,3.8,14.4,0.66,8.5%
