Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,Points/£M,Elite%
M.Salah,MID,14.5,89,7.0,5.4,5.2,6.4,6.5,30.5,0.42,54.2%
Palmer,MID,10.5,90,6.2,5.6,6.2,5.2,4.5,27.7,0.53,56.9%
Haaland,FWD,14.0,88,6.0,6.5,5.0,5.7,4.1,27.4,0.39,22.2%
Saka,MID,10.0,85,5.0,6.5,4.0,5.5,4.6,25.7,0.51,17.2%
B.Fernandes,MID,9.0,90,4.8,5.1,6.0,4.0,4.8,24.5,0.55,17.2%
Watkins,FWD,9.0,84,5.0,4.3,4.9,4.2,5.1,23.5,0.52,20.3%
Wirtz,MID,8.5,85,5.3,4.2,4.2,4.6,4.7,23.0,0.54,34.1%
Marmoush,MID,8.5,75,5.0,5.2,4.3,4.8,3.5,22.9,0.54,13.2%
Eze,MID,7.5,87,3.8,4.8,4.0,5.9,4.3,22.8,0.61,9.7%
Mateta,FWD,7.5,87,3.8,4.5,3.9,5.6,4.3,22.0,0.59,7.7%
Sarr,MID,6.5,85,3.6,4.5,3.8,5.6,4.1,21.5,0.66,4.6%
Bowen,FWD,8.0,90,4.9,4.0,3.8,4.4,4.0,21.2,0.53,19.1%
Semenyo,MID,7.0,85,3.4,4.9,4.0,4.5,4.1,20.8,0.59,5.2%
Gakpo,MID,7.5,71,4.6,3.7,3.4,4.4,4.3,20.4,0.54,5.9%
Georginio,MID,6.0,76,4.9,3.9,3.6,3.7,4.2,20.4,0.68,0.7%
Gyökeres,FWD,9.0,60,3.8,4.9,3.3,4.5,3.8,20.3,0.45,25.7%
Strand Larsen,FWD,6.5,83,3.8,3.9,4.2,3.5,4.6,20.1,0.62,5.2%
Virgil,DEF,6.0,91,4.5,3.7,3.4,4.2,4.1,19.9,0.66,24.0%
Evanilson,FWD,7.0,85,3.4,4.5,3.7,4.1,3.9,19.5,0.56,2.4%
Ødegaard,MID,8.0,82,3.9,4.6,3.3,4.2,3.5,19.5,0.49,3.3%
Frimpong,DEF,6.0,79,4.5,3.2,3.2,4.3,4.3,19.4,0.65,29.0%
Rice,MID,6.5,82,3.9,4.7,3.2,4.1,3.5,19.3,0.59,7.5%
Gibbs-White,MID,7.5,84,4.5,3.6,4.3,2.9,4.0,19.2,0.51,5.0%
L.Paquetá,MID,6.0,79,4.4,3.7,3.6,3.8,3.7,19.2,0.64,1.1%
Wood,FWD,7.5,81,4.4,3.6,4.2,3.1,3.8,19.2,0.51,14.9%
Joelinton,MID,6.0,89,3.8,3.6,3.9,4.2,3.7,19.2,0.64,0.5%
Schade,MID,7.0,77,3.0,4.2,4.6,3.7,3.6,19.1,0.55,1.2%
Anderson,MID,5.5,85,4.1,3.8,4.2,3.1,3.9,19.0,0.69,5.9%
Tielemans,MID,6.0,88,4.1,3.6,3.9,3.5,3.8,19.0,0.63,1.9%
Enzo,MID,6.5,93,4.2,3.8,4.0,3.5,3.4,18.9,0.58,3.8%
Mac Allister,MID,6.5,85,4.4,3.5,3.3,3.9,3.8,18.9,0.58,1.5%
Mitoma,MID,6.5,85,4.5,3.6,3.4,3.5,3.9,18.8,0.58,6.5%
Rogers,MID,7.0,68,2.7,3.7,4.1,3.7,4.5,18.8,0.54,17.1%
Damsgaard,MID,6.0,85,3.7,3.7,4.1,3.5,3.5,18.5,0.62,1.2%
Bruno G.,MID,6.5,92,3.7,3.5,3.7,4.0,3.5,18.4,0.57,1.6%
Murillo,DEF,5.5,88,4.1,3.4,4.1,2.7,3.9,18.2,0.66,5.3%
Ekitiké,FWD,8.5,64,4.2,3.6,3.2,3.5,3.6,18.1,0.43,10.9%
Cunha,MID,8.0,76,3.5,3.8,4.5,2.8,3.4,18.0,0.45,9.6%
Muñoz,DEF,5.5,91,2.7,4.0,2.9,5.1,3.4,18.0,0.66,9.1%
João Pedro,FWD,7.5,74,4.2,3.6,3.8,3.3,3.1,18.0,0.48,54.2%
A.Becker,GK,5.5,92,3.9,3.4,3.3,3.7,3.7,17.9,0.65,11.0%
Ndiaye,MID,6.5,73,3.9,3.7,3.6,3.7,2.9,17.9,0.55,12.8%
Gabriel,DEF,6.0,83,3.6,4.4,2.6,4.0,3.2,17.8,0.59,20.7%
Solanke,FWD,7.5,42,2.3,2.7,4.6,4.3,3.9,17.8,0.47,7.1%
Raya,GK,5.5,92,3.7,4.0,3.0,3.9,3.2,17.8,0.65,17.5%
Sánchez,GK,5.0,94,3.8,3.6,3.8,3.2,3.4,17.8,0.71,18.6%
Cucurella,DEF,6.0,89,4.0,3.6,4.1,3.1,2.9,17.7,0.59,18.8%
Ederson M.,GK,5.5,92,3.8,3.8,3.3,3.8,3.0,17.7,0.64,3.7%
Pedro Porro,DEF,5.5,84,5.0,2.1,4.0,3.6,2.9,17.6,0.64,12.8%
Schär,DEF,5.5,87,3.4,3.1,3.9,4.1,3.2,17.6,0.64,2.4%
Lacroix,DEF,5.0,91,2.9,3.9,2.9,4.5,3.3,17.6,0.70,1.1%
Thiago,FWD,6.0,74,3.7,3.9,4.0,3.1,2.9,17.5,0.58,1.2%
Iwobi,MID,6.5,80,3.3,3.8,3.0,3.8,3.6,17.5,0.54,1.6%
J.Arias,MID,5.5,71,3.2,3.4,3.8,3.0,4.0,17.5,0.64,1.0%
Caicedo,MID,5.5,91,3.8,3.5,3.7,3.3,3.2,17.4,0.63,6.5%
N.Williams,DEF,5.0,88,3.9,3.2,4.0,2.4,3.8,17.3,0.69,7.0%
Konaté,DEF,5.5,85,4.0,3.2,3.0,3.5,3.6,17.3,0.63,2.9%
Collins,DEF,5.0,90,3.5,3.4,4.1,3.1,3.3,17.2,0.69,1.8%
Saliba,DEF,6.0,92,3.6,4.3,2.5,3.8,3.1,17.2,0.57,13.7%
Kudus,MID,6.5,74,4.5,2.8,3.6,3.4,2.9,17.2,0.53,23.9%
Richards,DEF,4.5,90,2.9,3.7,2.9,4.5,3.2,17.2,0.76,1.4%
Tarkowski,DEF,5.5,92,3.9,3.7,3.8,3.4,2.4,17.1,0.62,5.8%
Guéhi,DEF,4.5,92,2.7,3.7,2.8,4.6,3.3,17.1,0.76,13.2%
Neto,MID,7.0,74,4.0,3.3,3.6,3.3,2.9,17.1,0.49,4.1%
Milenković,DEF,5.5,91,3.8,3.2,3.9,2.5,3.7,17.1,0.62,9.6%
Sels,GK,5.0,92,3.6,3.2,3.6,2.8,3.6,16.9,0.67,19.4%
Van den Berg,DEF,4.5,91,3.4,3.1,4.2,3.0,3.1,16.8,0.75,0.4%
Welbeck,FWD,6.5,59,3.7,3.0,3.0,3.5,3.7,16.8,0.52,6.2%
Wilson,MID,5.5,74,3.4,3.7,2.7,3.6,3.2,16.7,0.61,1.3%
