Name,Position,Price,xMins,GW1,GW2,GW3,GW4,GW5,Total,xMins/£M,Elite%
M.Salah,MID,14.5,87,87,85,85,83,82,422,5.8,53.4%
Palmer,MID,10.5,89,89,85,84,83,84,425,8.1,58.8%
Saka,MID,10.0,88,88,78,80,79,80,405,8.1,17.5%
Haaland,FWD,14.0,90,90,81,79,79,76,405,5.8,22.7%
B.Fernandes,MID,9.0,90,90,88,86,86,86,436,9.7,18.9%
Watkins,FWD,9.0,84,84,78,80,77,76,395,8.8,22.3%
Marmoush,MID,8.5,74,74,71,74,68,66,353,8.3,12.8%
Wirtz,MID,8.5,84,84,81,79,76,72,392,9.2,34.7%
Mateta,FWD,7.5,88,88,88,83,79,79,417,11.1,8.4%
Gyökeres,FWD,9.0,69,69,68,69,68,66,340,7.6,26.0%
Eze,MID,7.5,85,85,82,81,80,76,404,10.8,10.1%
Bowen,FWD,8.0,92,92,86,85,86,83,432,10.8,18.9%
Sarr,MID,6.5,84,84,80,77,76,79,396,12.2,5.2%
Ødegaard,MID,8.0,83,83,82,76,75,74,390,9.8,3.3%
Semenyo,MID,7.0,89,89,82,78,79,80,408,11.7,5.3%
Gakpo,MID,7.5,66,66,68,65,65,65,329,8.8,6.3%
Thiago,FWD,6.0,85,85,81,82,70,57,375,12.5,1.0%
Virgil,DEF,6.0,90,90,87,87,86,85,435,14.5,24.0%
Strand Larsen,FWD,6.5,85,85,80,79,81,76,401,12.3,5.2%
L.Paquetá,MID,6.0,80,80,80,77,70,75,382,12.7,1.1%
Frimpong,DEF,6.0,79,79,78,73,70,72,372,12.4,29.9%
Schade,MID,7.0,84,63,76,77,76,79,371,10.6,0.9%
Tielemans,MID,6.0,86,86,79,79,79,80,403,13.4,2.1%
Georginio,MID,6.0,74,74,73,71,66,65,349,11.6,0.8%
Wood,FWD,7.5,80,80,79,72,73,71,375,10.0,14.2%
Mitoma,MID,6.5,85,85,80,80,78,78,401,12.3,6.7%
Enzo,MID,6.5,90,90,89,86,86,87,438,13.5,3.7%
Gibbs-White,MID,7.5,80,80,83,82,80,77,402,10.7,5.2%
Evanilson,FWD,7.0,84,84,82,77,73,76,392,11.2,2.2%
Rice,MID,6.5,84,84,78,78,73,76,389,12.0,7.5%
Anderson,MID,5.5,85,85,84,79,77,78,403,14.7,6.7%
Ndiaye,MID,6.5,75,75,72,71,68,68,354,10.9,13.2%
Gordon,MID,7.5,80,60,71,75,63,67,336,9.0,1.9%
Joelinton,MID,6.0,90,90,87,83,83,80,423,14.1,0.5%
Solanke,FWD,7.5,43,43,57,77,76,71,324,8.6,6.4%
Gabriel,DEF,6.0,86,86,86,84,81,82,419,14.0,20.1%
Ekitiké,FWD,8.5,62,62,62,63,59,54,300,7.1,12.1%
Murillo,DEF,5.5,88,88,84,82,83,79,416,15.1,5.6%
Mac Allister,MID,6.5,70,70,76,74,74,73,367,11.3,1.5%
Muñoz,DEF,5.5,89,89,86,87,84,84,430,15.6,9.2%
Rogers,MID,7.0,70,53,74,78,81,78,364,10.4,13.5%
Pedro Porro,DEF,5.5,83,83,80,80,76,77,396,14.4,14.2%
Iwobi,MID,6.5,85,85,82,81,76,77,401,12.3,1.6%
Raya,GK,5.5,91,91,91,87,89,90,448,16.3,17.3%
Damsgaard,MID,6.0,86,86,83,78,77,75,399,13.3,1.2%
Bruno G.,MID,6.5,89,89,86,82,82,81,420,12.9,1.6%
Kudus,MID,6.5,71,71,69,65,62,62,329,10.1,23.7%
A.Becker,GK,5.5,94,94,89,86,86,81,436,15.9,11.0%
Konaté,DEF,5.5,85,85,81,76,77,77,396,14.4,2.9%
Andersen,DEF,4.5,92,92,92,91,85,86,446,19.8,1.9%
Lacroix,DEF,5.0,91,91,88,85,80,82,426,17.0,1.1%
J.Arias,MID,5.5,76,76,76,73,71,71,367,13.3,1.0%
Sánchez,GK,5.0,92,92,92,88,92,91,455,18.2,20.3%
Tarkowski,DEF,5.5,92,92,90,88,88,86,444,16.1,6.7%
Neto,MID,7.0,73,73,69,63,65,65,335,9.6,4.1%
Ederson M.,GK,5.5,94,94,89,88,88,86,445,16.2,3.6%
Cucurella,DEF,6.0,89,89,87,84,78,83,421,14.0,18.9%
Saliba,DEF,6.0,90,90,87,85,83,80,425,14.2,13.5%
Minteh,MID,6.0,77,77,73,71,65,64,350,11.7,1.4%
João Pedro,FWD,7.5,71,71,62,65,65,61,324,8.6,54.8%
Caicedo,MID,5.5,90,90,87,86,84,84,431,15.7,6.2%
N.Williams,DEF,5.0,88,88,87,83,78,73,409,16.4,8.4%
Milenković,DEF,5.5,90,90,88,86,83,81,428,15.6,9.8%
Cunha,MID,8.0,74,74,64,68,72,69,347,8.7,9.2%
Wilson,MID,5.5,71,71,69,61,59,54,314,11.4,1.2%
